iter	MultiClass
0	1.266153694
1	1.165967834
2	1.100889118
3	1.033625053
4	0.9848938263
5	0.9346238471
6	0.8926823438
7	0.8621106925
8	0.8309838589
9	0.7989363497
10	0.7717241917
11	0.7483576854
12	0.7272679628
13	0.7114307511
14	0.693380583
15	0.6778352706
16	0.6598104853
17	0.6408455419
18	0.6249853554
19	0.6094717316
20	0.5984568993
21	0.587533127
22	0.5790233997
23	0.5707030817
24	0.5628196875
25	0.5579776941
26	0.546722065
27	0.5400648194
28	0.5329858953
29	0.5301928535
30	0.5227135101
31	0.5181302971
32	0.5132838365
33	0.5049945957
34	0.5021288454
35	0.496048638
36	0.494745684
37	0.4905324577
38	0.4862821294
39	0.4818394244
40	0.4764091324
41	0.4738528518
42	0.4711576132
43	0.469151494
44	0.466471642
45	0.4627814671
46	0.4591679871
47	0.4575625625
48	0.4546262834
49	0.4515621475
50	0.4486109395
51	0.4457233991
52	0.442311383
53	0.4399903626
54	0.4362716745
55	0.4337862008
56	0.4302852174
57	0.4274942925
58	0.4232422613
59	0.4199391074
60	0.4184757929
61	0.4152765947
62	0.412067379
63	0.4103264431
64	0.4081484369
65	0.4047515474
66	0.4017272647
67	0.4001312306
68	0.3971398906
69	0.3939835201
70	0.3922349201
71	0.3906810331
72	0.3881446764
73	0.3868413089
74	0.3848413088
75	0.3846489125
76	0.380477947
77	0.3783381668
78	0.3774864642
79	0.3754969258
80	0.3739466189
81	0.3725164199
82	0.3721866873
83	0.3704074263
84	0.3685998428
85	0.3680185883
86	0.3670575666
87	0.3660156699
88	0.3653325282
89	0.3637123731
90	0.3626998897
91	0.361476284
92	0.3597757262
93	0.3564930454
94	0.354624442
95	0.3538905363
96	0.35200442
97	0.350390996
98	0.3485849869
99	0.348288967
100	0.3475797857
101	0.3471004453
102	0.3456861525
103	0.3445762161
104	0.342275481
105	0.341619985
106	0.3410905501
107	0.3399320076
108	0.3394697047
109	0.3379053391
110	0.336392891
111	0.3347618488
112	0.3342482381
113	0.3339903159
114	0.3326992956
115	0.3316500956
116	0.3311602298
117	0.3298394632
118	0.3290781164
119	0.328126568
120	0.32584565
121	0.3248357807
122	0.3234364358
123	0.3223738433
124	0.3217560308
125	0.3213704234
126	0.3197052903
127	0.3184571946
128	0.3178370633
129	0.317334758
130	0.3161982312
131	0.3131423488
132	0.3115714193
133	0.3111527725
134	0.3098184481
135	0.3089978958
136	0.3074495141
137	0.3065023791
138	0.3055792962
139	0.3054206372
140	0.3047469082
141	0.3039627031
142	0.3026707198
143	0.3019888286
144	0.3017686825
145	0.3006255917
146	0.3005666058
147	0.2997107427
148	0.2987639911
149	0.2979186488
150	0.2960015119
151	0.2948833846
152	0.2940379444
153	0.2935006567
154	0.2929979259
155	0.2925226581
156	0.2921965343
157	0.2914888265
158	0.2910764007
159	0.2903671002
160	0.2899030763
161	0.2893394538
162	0.288454541
163	0.2880156113
164	0.287758893
165	0.2874355393
166	0.2870538898
167	0.2868206026
168	0.2865834352
169	0.2860317665
170	0.2852995251
171	0.2847749279
172	0.283635693
173	0.2820538168
174	0.2810403318
175	0.280761163
176	0.2802513446
177	0.2793150059
178	0.2786435123
179	0.2774762726
180	0.2766684593
181	0.2759082442
182	0.2751925256
183	0.2748744404
184	0.2738365266
185	0.2731830699
186	0.2729259007
187	0.2722310161
188	0.270731914
189	0.2701992042
190	0.2694626071
191	0.2692425923
192	0.2685791677
193	0.2675385481
194	0.2671310532
195	0.2666282243
196	0.2665177543
197	0.2659203764
198	0.2652877604
199	0.2648215736
