iter	Passed	Remaining
0	25	4981
1	50	5010
2	76	5004
3	100	4927
4	125	4910
5	150	4871
6	175	4844
7	201	4835
8	227	4831
9	252	4797
10	278	4792
11	305	4779
12	329	4746
13	355	4726
14	383	4728
15	418	4813
16	447	4815
17	475	4805
18	502	4789
19	530	4773
20	555	4739
21	580	4699
22	606	4666
23	631	4632
24	658	4606
25	682	4567
26	709	4543
27	740	4548
28	766	4520
29	792	4492
30	818	4461
31	850	4465
32	876	4434
33	901	4403
34	927	4371
35	953	4344
36	966	4258
37	991	4227
38	1017	4198
39	1041	4167
40	1068	4144
41	1095	4120
42	1123	4102
43	1148	4073
44	1173	4041
45	1200	4019
46	1227	3994
47	1251	3962
48	1278	3941
49	1303	3910
50	1327	3879
51	1353	3851
52	1380	3827
53	1409	3811
54	1437	3790
55	1466	3771
56	1500	3763
57	1536	3762
58	1565	3741
59	1592	3716
60	1619	3690
61	1649	3672
62	1677	3648
63	1704	3622
64	1731	3596
65	1757	3568
66	1785	3544
67	1812	3517
68	1839	3492
69	1867	3467
70	1895	3444
71	1924	3422
72	1952	3397
73	1982	3376
74	2009	3348
75	2037	3324
76	2071	3309
77	2103	3290
78	2132	3266
79	2162	3244
80	2190	3217
81	2216	3188
82	2283	3218
83	2339	3230
84	2384	3225
85	2413	3198
86	2439	3169
87	2465	3137
88	2493	3110
89	2520	3080
90	2548	3052
91	2578	3027
92	2613	3007
93	2639	2976
94	2666	2947
95	2693	2917
96	2722	2890
97	2747	2859
98	2775	2831
99	2800	2800
100	2829	2773
101	2858	2746
102	2886	2717
103	2914	2689
104	2942	2662
105	2968	2632
106	2993	2601
107	3020	2572
108	3046	2543
109	3074	2515
110	3102	2487
111	3130	2459
112	3155	2429
113	3197	2412
114	3224	2383
115	3250	2353
116	3275	2323
117	3302	2294
118	3331	2267
119	3364	2243
120	3398	2218
121	3428	2191
122	3456	2163
123	3486	2136
124	3515	2109
125	3543	2080
126	3572	2053
127	3600	2025
128	3626	1996
129	3654	1967
130	3682	1939
131	3714	1913
132	3751	1890
133	3784	1864
134	3812	1835
135	3844	1808
136	3873	1781
137	3902	1753
138	3930	1725
139	3958	1696
140	3986	1668
141	4015	1639
142	4045	1612
143	4073	1584
144	4104	1556
145	4132	1528
146	4161	1500
147	4186	1470
148	4214	1442
149	4239	1413
150	4267	1384
151	4296	1356
152	4323	1328
153	4353	1300
154	4382	1272
155	4410	1244
156	4439	1215
157	4466	1187
158	4494	1158
159	4522	1130
160	4550	1102
161	4576	1073
162	4607	1045
163	4634	1017
164	4660	988
165	4690	960
166	4716	932
167	4741	903
168	4770	874
169	4795	846
170	4822	817
171	4850	789
172	4877	761
173	4905	733
174	4932	704
175	4961	676
176	4990	648
177	5018	620
178	5046	592
179	5074	563
180	5101	535
181	5129	507
182	5160	479
183	5188	451
184	5218	423
185	5248	395
186	5276	366
187	5305	338
188	5334	310
189	5365	282
190	5392	254
191	5420	225
192	5446	197
193	5475	169
194	5500	141
195	5527	112
196	5554	84
197	5581	56
198	5610	28
199	5636	0
